codigo_dane_fuente,municipio,municipio_normalizado,aro_uesvalle,evento_secundario,descripcion_riesgo_asociado,habitantes,heridos,heridos_menores,heridos_mayores,fallecidos,fallecidos_menores,fallecidos_mayores,desaparecidos,familias_afectadas,personas_afectadas,estado_informacion_poblacion,calidad_registro,fila_fuente
76670,San Pedro,SAN PEDRO,ARO Centro - Tuluá,"suspension del servicio de fluido electrico, daños en la infraestructura de los templos y parroquidas del municipio, cableado de lineas de internet caidas.","debido al sismo presentado el dia de ayer 10 de Agosto del año en curso se presento suspension del servicio de fluido electrico en el casco urbano del municipio y en algunos sectores y corregimiento de nuestra jurisdiccion de los cuales a la fecha y hora tenemos sitios que no se ha podido restablecer dicho servicio, igualmente tenemos en riesgo principalmente dos torres de iglesias catolicas a punto de colapsar y poco a poco se esta haciendo el retiro del cableado de las lineas de internet y tv cable que se encuentran caidas. ",17275,16,3,13,0,0,0,0,,,REPORTADO,REVISAR,36
76736,Sevilla,SEVILLA,ARO Centro - Tuluá,"Mayoria de la urbana sin energia, zona rural sin energia.Vias de ingreso y municipales con escombro al municipio",,44100,56,,,3,0,3,,,,REPORTADO,,37
76823,Toro,TORO,ARO Norte - Cartago,"Se realiza contacto, no se tiene información hasta el momento","Se realiza contacto, no se tiene información hasta el momento",15013,13,,,1,,,,,,REPORTADO,,38
76828,Trujillo,TRUJILLO,ARO Centro - Tuluá,N/A,N/A,19700,32,1,31,1,0,1,1,536,1707,REPORTADO,,39
76834,Tuluá,TULUA,ARO Centro - Tuluá,"MUNICIPIO SIN AGUA - DESPLAZAMIENTO 15 CM DEL PUENTE SOBRE EL RIO CAUCA  EN LA VIA TULUA  RIOFRIO. LAS AUTORIDADES DAN UN PARTE DE TRANQUILIDAD, HAY PASO NORMAL PARA VEHICULOS DE TODO TIPO.",,233385,33,,,,,,,,,REPORTADO,,40
76845,Ulloa,ULLOA,ARO Norte - Cartago,Derrumbes en las vías,"Derrumbes en 4 vías secundarias y una principal:
1) Ulloa - Pereira por el sector de Sucre
2) Ulloa - Filandia sector Chapinero
3) Ulloa - Pereira sector La Palmilla (Dinamarca)
4) Ulloa - Alcalá: vía principal aproximadamente 4 derrumbes y arboles caídos",,2,,,0,,,,286,,PARCIAL / EN VERIFICACIÓN,,41
76863,Versalles,VERSALLES,ARO Norte - Cartago,DERUMBES VIA  VERSALLES - LA UNION ,10 derumbes entre ellos 1 - grande solo tiene habilitado un carril  pero hay paso restringido,7475,18,,,,,,,,171,REPORTADO,,42
76869,Vijes,VIJES,ARO Sur - Cali,"DESLIZAMIENTO EN VIAS TERCIARIAS 
DESPRENDIMIENTOS EN CARRETERAS  
AFECTACION EN CASAS ZONA RURAL Y URBANA",,13324,0,0,0,0,0,0,0,,,REPORTADO,REVISAR,43
76890,Yotoco,YOTOCO,ARO Centro - Tuluá,2 vías tapadas por la montañ, Vías afectadas o con restricciones de movilidad: Vía Las Delicias - La Playa y Vía La Carrasposa,16466,,,,,,,,,457,REPORTADO,,44
76892,Yumbo,YUMBO,ARO Sur - Cali,Incendio Estructural,"Incendio Estructural Parque Logisitco Palma Seca, Autopista Cali-Yumbo",120000,28,21,7,6,2,4,0,100,500,REPORTADO,,45
76895,Zarzal,ZARZAL,ARO Centro - Tuluá,caida electrica vallejuelo y la paila,cabecera hay enrgia agua no la paila sin energia,51500,75,5,70,2,0,2,2,1000,4000,REPORTADO,,46
